received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-15T20:36:22.606070+00:00,3,2134,128x,300ms,25,64,0,86,835,650,1715,617,204,110,84,49,1965
2026-09-15T20:36:23.326261+00:00,4,2856,128x,300ms,25,64,0,86,835,650,1714,617,204,110,84,48,1965
2026-09-15T20:36:24.046364+00:00,5,3578,128x,300ms,25,64,0,86,835,650,1713,617,204,110,84,48,1965
2026-09-15T20:36:24.773913+00:00,6,4300,128x,300ms,25,64,1,86,835,650,1715,617,203,110,84,49,1964
2026-09-15T20:36:25.493969+00:00,7,5022,128x,300ms,25,64,1,86,835,650,1715,617,204,110,84,48,1964
2026-09-15T20:36:26.213400+00:00,8,5745,128x,300ms,25,64,1,86,835,650,1714,617,204,110,84,48,1965
2026-09-15T20:36:26.934443+00:00,9,6467,128x,300ms,25,64,1,86,834,650,1715,617,203,109,84,49,1964
2026-09-15T20:36:27.662320+00:00,10,7189,128x,300ms,25,64,1,86,835,649,1715,617,204,110,84,48,1964
2026-09-15T20:36:28.384114+00:00,11,7912,128x,300ms,25,64,0,86,835,650,1715,617,204,110,84,48,1965
2026-09-15T20:36:29.102549+00:00,12,8634,128x,300ms,25,64,0,86,835,650,1714,617,204,110,84,48,1964
2026-09-15T20:36:29.822083+00:00,13,9356,128x,300ms,25,64,0,86,835,650,1714,617,204,110,84,48,1963
2026-09-15T20:36:30.541511+00:00,14,10079,128x,300ms,25,64,0,86,834,649,1714,617,204,110,84,49,1963
2026-09-15T20:36:31.270388+00:00,15,10801,128x,300ms,25,64,0,86,834,649,1714,617,203,110,84,48,1964
2026-09-15T20:36:31.989395+00:00,16,11523,128x,300ms,25,64,1,86,835,650,1715,614,204,111,86,49,1997
2026-09-15T20:36:32.710150+00:00,17,12244,128x,300ms,25,64,1,95,1000,730,1685,601,201,112,90,48,2059
2026-09-15T20:36:33.431222+00:00,18,12967,128x,300ms,25,64,1,33,404,242,468,384,127,67,51,28,1192
2026-09-15T20:36:34.150307+00:00,19,13689,128x,300ms,25,64,1,74,649,563,1630,555,182,95,70,43,1634
2026-09-15T20:36:34.870046+00:00,20,14411,128x,300ms,25,64,1,75,670,561,1597,611,204,111,86,48,1983
2026-09-15T20:36:35.590099+00:00,21,15133,128x,300ms,25,64,0,37,420,270,580,10,4,1,1,0,43
2026-09-15T20:36:36.309429+00:00,22,15854,128x,300ms,25,64,0,1,43,20,5,10,5,2,1,0,44
2026-09-15T20:36:37.029333+00:00,23,16572,128x,300ms,25,64,0,1,43,20,6,11,5,2,1,0,45
