received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-21T19:55:09.527208+00:00,3,2112,128x,300ms,25,64,0,19,173,138,367,142,42,21,15,8,490
2026-09-21T19:55:10.246041+00:00,4,2826,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:10.966806+00:00,5,3539,128x,300ms,25,64,0,20,172,138,367,142,43,21,15,8,490
2026-09-21T19:55:11.686048+00:00,6,4254,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:12.398143+00:00,7,4968,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:13.118549+00:00,8,5682,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:13.838106+00:00,9,6394,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:14.558619+00:00,10,7108,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,9,489
2026-09-21T19:55:15.277974+00:00,11,7822,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,9,490
2026-09-21T19:55:15.990092+00:00,12,8536,128x,300ms,25,64,0,19,173,138,367,142,42,21,15,8,490
2026-09-21T19:55:16.711006+00:00,13,9250,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:17.430126+00:00,14,9964,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,9,490
2026-09-21T19:55:18.150120+00:00,15,10679,128x,300ms,25,64,0,20,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:18.862770+00:00,16,11394,128x,300ms,25,64,1,19,173,137,367,142,43,21,14,8,490
2026-09-21T19:55:19.583646+00:00,17,12107,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,9,489
2026-09-21T19:55:20.303185+00:00,18,12820,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,9,489
2026-09-21T19:55:21.021885+00:00,19,13534,128x,300ms,25,64,1,19,173,138,367,142,42,21,15,8,490
2026-09-21T19:55:21.743514+00:00,20,14247,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:22.455660+00:00,21,14961,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:23.174812+00:00,22,15676,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:23.895108+00:00,23,16391,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:24.614430+00:00,24,17104,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:25.335186+00:00,25,17819,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:26.046369+00:00,26,18533,128x,300ms,25,64,1,19,173,138,367,142,42,21,15,9,490
2026-09-21T19:55:26.766513+00:00,27,19247,128x,300ms,25,64,1,19,173,138,367,142,42,21,14,8,489
2026-09-21T19:55:27.486429+00:00,28,19960,128x,300ms,25,64,1,20,173,138,367,142,42,21,14,8,489
2026-09-21T19:55:28.206059+00:00,29,20674,128x,300ms,25,64,1,19,173,138,367,142,42,21,14,9,489
2026-09-21T19:55:28.925881+00:00,30,21389,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,9,490
2026-09-21T19:55:29.646174+00:00,31,22104,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:30.358627+00:00,32,22817,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:31.079173+00:00,33,23532,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:31.798468+00:00,34,24246,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:32.518930+00:00,35,24961,128x,300ms,25,64,0,20,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:33.238557+00:00,36,25675,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:33.950828+00:00,37,26389,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:34.670717+00:00,38,27103,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:35.390730+00:00,39,27815,128x,300ms,25,64,1,19,172,138,367,142,43,21,15,8,490
2026-09-21T19:55:36.110005+00:00,40,28530,128x,300ms,25,64,1,19,173,138,367,142,42,21,15,9,490
2026-09-21T19:55:36.830123+00:00,41,29244,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,9,490
2026-09-21T19:55:37.550442+00:00,42,29958,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:38.262492+00:00,43,30672,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,9,490
2026-09-21T19:55:38.982499+00:00,44,31386,128x,300ms,25,64,0,20,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:39.703498+00:00,45,32101,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:40.422579+00:00,46,32816,128x,300ms,25,64,1,19,173,138,367,142,42,21,15,8,490
2026-09-21T19:55:41.134702+00:00,47,33529,128x,300ms,25,64,1,20,173,138,367,142,43,21,14,9,489
2026-09-21T19:55:41.854338+00:00,48,34243,128x,300ms,25,64,1,19,173,138,367,142,42,21,14,8,490
2026-09-21T19:55:42.574206+00:00,49,34957,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:43.294405+00:00,50,35671,128x,300ms,25,64,1,20,172,138,367,142,43,21,14,8,489
2026-09-21T19:55:44.014469+00:00,51,36384,128x,300ms,25,64,0,20,173,138,367,142,43,21,15,9,489
2026-09-21T19:55:44.727378+00:00,52,37099,128x,300ms,25,64,0,20,173,138,367,142,43,21,15,9,489
2026-09-21T19:55:45.445858+00:00,53,37813,128x,300ms,25,64,0,20,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:46.166665+00:00,54,38528,128x,300ms,25,64,0,20,173,138,367,142,43,21,14,9,490
2026-09-21T19:55:46.887064+00:00,55,39242,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:47.606140+00:00,56,39957,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:48.318289+00:00,57,40670,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:55:49.037939+00:00,58,41384,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:49.757887+00:00,59,42097,128x,300ms,25,64,1,19,173,138,367,142,42,21,14,9,489
2026-09-21T19:55:50.478321+00:00,60,42811,128x,300ms,25,64,1,20,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:51.198780+00:00,61,43526,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,9,490
2026-09-21T19:55:51.918122+00:00,62,44239,128x,300ms,25,64,0,19,172,138,367,142,43,21,15,9,490
2026-09-21T19:55:52.630080+00:00,63,44954,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:55:53.350382+00:00,64,45668,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:54.069875+00:00,65,46383,128x,300ms,25,64,0,20,173,137,367,142,43,21,14,8,489
2026-09-21T19:55:54.790554+00:00,66,47096,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:55.502895+00:00,67,47810,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:56.222119+00:00,68,48524,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:56.942306+00:00,69,49238,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,9,490
2026-09-21T19:55:57.661977+00:00,70,49951,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:55:58.382543+00:00,71,50665,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:55:59.103434+00:00,72,51380,128x,300ms,25,64,0,19,172,138,367,142,43,21,15,8,490
2026-09-21T19:55:59.813876+00:00,73,52094,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:56:00.533888+00:00,74,52808,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,9,489
2026-09-21T19:56:01.254179+00:00,75,53523,128x,300ms,25,64,0,20,173,138,367,142,43,21,15,8,489
2026-09-21T19:56:01.976338+00:00,76,54238,128x,300ms,25,64,1,20,173,138,367,142,43,21,15,8,489
2026-09-21T19:56:02.687164+00:00,77,54950,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:56:03.405821+00:00,78,55664,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:56:04.125803+00:00,79,56379,128x,300ms,25,64,1,20,173,138,367,142,43,21,15,8,489
2026-09-21T19:56:04.846900+00:00,80,57092,128x,300ms,25,64,1,20,173,138,367,142,43,21,15,8,490
2026-09-21T19:56:05.566397+00:00,81,57805,128x,300ms,25,64,0,20,173,138,367,142,43,21,15,8,490
2026-09-21T19:56:06.286792+00:00,82,58520,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:56:06.998501+00:00,83,59235,128x,300ms,25,64,0,19,173,138,367,142,42,21,15,8,489
2026-09-21T19:56:07.718390+00:00,84,59949,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,489
2026-09-21T19:56:08.438755+00:00,85,60663,128x,300ms,25,64,0,19,173,138,367,142,42,21,14,9,489
2026-09-21T19:56:09.158286+00:00,86,61378,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,9,489
2026-09-21T19:56:09.871499+00:00,87,62092,128x,300ms,25,64,1,19,173,138,367,142,42,21,14,8,489
2026-09-21T19:56:10.590134+00:00,88,62806,128x,300ms,25,64,1,20,173,138,367,142,43,21,15,9,489
2026-09-21T19:56:11.315802+00:00,89,63519,128x,300ms,25,64,1,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:56:12.029793+00:00,90,64232,128x,300ms,25,64,1,19,173,137,367,142,42,21,14,8,489
2026-09-21T19:56:12.749898+00:00,91,64947,128x,300ms,25,64,0,19,173,138,367,142,42,21,15,8,489
2026-09-21T19:56:13.470419+00:00,92,65660,128x,300ms,25,64,0,19,173,138,367,142,43,21,15,8,490
2026-09-21T19:56:14.182366+00:00,93,66375,128x,300ms,25,64,0,19,172,138,367,142,43,21,14,8,489
2026-09-21T19:56:14.902198+00:00,94,67090,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,489
2026-09-21T19:56:15.621965+00:00,95,67804,128x,300ms,25,64,0,19,173,138,367,142,43,21,14,8,490
2026-09-21T19:56:15.655625+00:00,96,68518,128x,300ms,25,64,1,20,173,138,367,142,43,21,15,8,490
2026-09-21T19:56:16.374202+00:00,97,69232,128x,300ms,25,64,1,19,173,138,367,142,43,21,15,9,490
2026-09-21T19:56:17.806291+00:00,98,69981,32x,300ms,25,64,1,5,44,35,93,36,11,5,4,2,123
2026-09-21T19:56:17.838372+00:00,99,70692,32x,300ms,25,64,1,5,44,35,93,36,11,5,4,2,123
2026-09-21T19:56:18.559816+00:00,100,71403,32x,300ms,25,64,1,5,44,35,93,36,11,5,4,2,123
2026-09-21T19:56:19.309986+00:00,101,72150,64x,300ms,25,64,0,9,86,68,183,71,21,10,7,4,244
2026-09-21T19:56:20.022394+00:00,102,72862,64x,300ms,25,64,0,9,86,69,184,71,20,10,7,4,244
2026-09-21T19:56:20.742528+00:00,103,73578,64x,300ms,25,64,0,9,86,69,184,71,21,10,7,4,244
2026-09-21T19:56:22.142322+00:00,104,74294,64x,300ms,25,64,0,9,86,68,183,71,21,10,7,4,244
2026-09-21T19:56:22.864875+00:00,105,75006,64x,300ms,25,64,0,9,86,69,184,71,21,10,7,4,244
2026-09-21T19:56:23.583146+00:00,106,75718,64x,300ms,25,64,1,9,86,68,183,71,21,10,7,4,243
2026-09-21T19:56:23.612035+00:00,107,76430,64x,300ms,25,64,1,9,86,68,184,71,21,10,7,4,244
2026-09-21T19:56:24.327120+00:00,108,77143,64x,300ms,25,64,1,9,86,68,183,71,21,10,7,3,244
2026-09-21T19:56:24.854151+00:00,109,77858,64x,300ms,25,64,1,9,86,68,184,71,21,10,7,4,244
2026-09-21T19:56:25.887596+00:00,110,78407,64x,200ms,25,64,1,6,57,46,123,47,14,7,5,2,162
2026-09-21T19:56:26.398616+00:00,111,78920,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:26.918244+00:00,112,79433,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:27.430103+00:00,113,79946,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:27.950180+00:00,114,80459,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:28.462413+00:00,115,80971,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:28.982086+00:00,116,81484,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:29.494535+00:00,117,81997,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:30.014605+00:00,118,82510,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:30.526088+00:00,119,83023,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:31.046699+00:00,120,83535,64x,200ms,25,64,1,6,57,46,122,47,14,6,5,2,162
2026-09-21T19:56:31.558487+00:00,121,84048,64x,200ms,25,64,1,6,57,45,122,47,14,7,5,2,162
2026-09-21T19:56:31.598267+00:00,122,84560,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:32.110679+00:00,123,85073,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:33.110487+00:00,124,85590,64x,200ms,25,64,0,6,57,46,123,47,14,7,5,2,162
2026-09-21T19:56:33.630411+00:00,125,86103,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:34.142784+00:00,126,86616,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:34.662624+00:00,127,87129,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:35.174480+00:00,128,87642,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:35.686932+00:00,129,88155,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:36.208656+00:00,130,88668,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:36.718401+00:00,131,89180,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:37.239106+00:00,132,89693,64x,200ms,25,64,1,6,57,45,123,47,14,7,5,2,162
2026-09-21T19:56:37.750449+00:00,133,90205,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:38.270919+00:00,134,90718,64x,200ms,25,64,1,6,57,46,123,47,13,7,5,2,162
2026-09-21T19:56:38.782646+00:00,135,91231,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:39.302159+00:00,136,91744,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:39.814984+00:00,137,92256,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:40.334698+00:00,138,92770,64x,200ms,25,64,0,6,57,46,123,47,14,7,5,2,162
2026-09-21T19:56:40.846385+00:00,139,93282,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,2,162
2026-09-21T19:56:40.887188+00:00,140,93795,64x,200ms,25,64,0,6,57,46,122,47,14,7,5,3,163
2026-09-21T19:56:41.601805+00:00,141,94308,64x,200ms,25,64,1,6,57,46,122,47,14,7,5,2,163
2026-09-21T19:56:43.038916+00:00,142,95055,64x,300ms,25,64,1,9,86,68,183,71,21,10,7,3,244
2026-09-21T19:56:43.750334+00:00,143,95768,64x,300ms,25,64,1,9,86,68,183,71,21,10,7,3,244
2026-09-21T19:56:44.471047+00:00,144,96480,64x,300ms,25,64,1,9,85,68,184,70,21,10,7,3,243
2026-09-21T19:56:45.190210+00:00,145,97191,64x,300ms,25,64,1,9,86,69,184,71,20,10,7,4,244
2026-09-21T19:56:45.902255+00:00,146,97904,64x,300ms,25,64,0,9,86,68,183,71,20,10,7,3,244
2026-09-21T19:56:46.616235+00:00,147,98616,64x,300ms,25,64,0,9,86,68,183,71,21,10,7,4,244
2026-09-21T19:56:47.335008+00:00,148,99329,64x,300ms,25,64,0,9,86,68,183,71,20,10,7,4,244
